"Source","Target"
7401327478,4336451277
6340007440,4316483340
3758118046,6081504025
445154846,4497771501
2758469152,2987279234
5748489103,5971760311
4928880336,1082642344
4624222122,8683543845
5262095561,927895922
2369776263,988008298
8501920513,9722096196
7877406257,6644790956
6219666393,3919105611
5535491870,1681811645
7147448786,5557620276
987302110,3546293157
8212001718,4675771219
1587046893,9021009219
976070224,7951108994
2482785525,2327949023
3979625953,5869654043
4624222122,4900827431
3895286750,6174768568
7147448786,5557620276
466498973,9021009219
9444956233,8202539172
9141887311,8202539172
7147448786,5557620276
8093648634,2987279234
6340007440,4316483340
6658116904,6469485685
4501271268,4497771501
4972307187,7951108994
6855720762,8201057754
3979625953,390237565
6381030298,9553458659
7147448786,5557620276
7900125583,4548390037
4675771219,2697605096
5931070343,6644790956
8501920513,9488471937
2649480083,3546293157
9352740070,5218803866
2975433371,2531548770
7900125583,7803522559
2626270774,1082642344
9855729126,2327949023
3267846600,5033262977
7785245954,8202539172
1291265097,8201057754
5825377846,250142155
9332541212,1077741499
5748489103,7067073417
7419470415,3173291888
9330449479,1407059664
142007788,9696157978
5040384414,2875874575
2369776263,4100600686
2369776263,4254045660
4405331748,9696157978
9330449479,1407059664
7279271900,3173291888
78750373,3919105611
2737194318,2327949023
2520061873,1277972178
9678311627,4604350890
3989101183,2987279234
8501920513,1766338062
2369776263,7701458546
6088569153,5098225823
5772924864,4689351304
524887805,4783616175
9678311627,4604350890
7900125583,7625945339
120902347,5709569908
6381030298,9553458659
8498139448,7951108994
3979625953,4346395450
1775046511,4497771501
9332541212,3723419199
9107206798,459201377
389024076,6469485685
9741665599,2531548770
5825377846,250142155
2528352705,3546293157
2697605096,726077956
8707551848,3919105611
6340007440,4316483340
6837507008,2531548770
6267865191,5709569908
6381030298,9553458659
5074743934,5218803866
3979625953,3623327233
3591030456,947838216
5825377846,250142155
389024076,6771036247
8078880434,5644818249
3767006545,1323517665
2090244022,2286679717
207936746,6283846212
5262095561,927895922
9678311627,4604350890
6340007440,4316483340
5396594127,459201377
8600542721,7863533708
8394329540,5334788886
3366160080,3546293157
9678311627,4604350890
5932891635,2327949023
8600542721,5111509251
3962781574,2987279234
6558961368,3173291888
2369776263,266182901
9330449479,1407059664
4468415510,8983645623
3211540762,6644790956
9234269769,9696157978
5617532830,4497771501
9935797721,7951108994
2090244022,4346395450
7437186310,3173291888
403526894,6340811554
2783073273,6644790956
9350495967,2327949023
4533141883,459201377
3979625953,9369763023
3046750994,5709569908
3767006545,1323517665
8461222114,2987279234
9485651027,6985374793
9678311627,4604350890
3767006545,1323517665
8600542721,7442263375
7401327478,4336451277
819399232,5218803866
726077956,6088675358
6658116904,6771036247
3201382642,9749980386
1422891634,4497771501
5262095561,927895922
2090244022,5869654043
8957068054,6207125149
5748489103,5373239176
2875874575,7862289914
7900125583,3009831077
3190048835,2531548770
5748489103,1481628676
5825377846,250142155
8501920513,2121314434
6978297094,1082642344
403526894,9251224425
7828122612,4689351304
3342935265,5218803866
285552105,5668411164
435764827,7040046475
7401327478,4336451277
4753178310,1082642344
8600542721,5594825011
5191792876,4723035903
988008298,2412223098
9678311627,4604350890
3027507704,7535520218
1681811645,4157322207
5262095561,927895922
9330449479,1407059664
3783057593,2531548770
8394329540,5334788886
3767006545,1323517665
9085937756,6644790956
5057689301,3267846600
3556481259,5019320065
266182901,2412223098
8600542721,8804315251
6381030298,9553458659
5772818011,2327949023
2440773125,7951108994
8600542721,7689874264
7877257337,4497771501
5883863892,2987279234
6566598426,7772352930
3453088802,1640969510
403526894,6278554025
2447476655,5218803866
1457356634,6644790956
9330449479,1407059664
6381030298,9553458659
2090244022,9369763023
4957058371,459201377
403526894,550795603
2386780639,7856837871
5423475420,6633012892
2641062081,1418787240
3767006545,1323517665
1464968036,2987279234
6088675358,3632421612
5262095561,927895922
8078880434,8618176711
8585579344,2531548770
2090244022,390237565
3556481259,5019320065
9678311627,4604350890
4390377272,2327949023
8753869372,4497771501
3895306575,4810948357
1168258535,6985374793
2392170793,2793197858
4900827431,5088129970
1860351715,6123421761
6658116904,5896843637
7401327478,4336451277
8394329540,5334788886
6042344622,7924000009
9402212829,6042344622
3651814546,9273258089
8600542721,24346764
9403274839,8848140810
149944640,4619052265
8379256821,7772352930
2337289637,4723035903
5095505244,8251530095
5498153777,7535520218
3651814546,9273258089
9749980386,6279030684
9137307154,2248766608
8078880434,4014748430
1076202815,7951108994
5668411164,6474275633
3979625953,2286679717
524887805,365630545
403526894,2819441865
8123264131,459201377
5458014530,2399858017
6381030298,9553458659
3761094857,6123421761
9511743304,434351836
3767006545,1323517665
3895306575,4810948357
3556481259,5019320065
3428098918,2987279234
5262095561,927895922
6223365730,547920096
4100600686,2412223098
8957068054,5509341271
8644845378,2987279234
9678311627,4604350890
3860436187,7535520218
4827744909,6890773508
9678311627,4604350890
3241216466,5709569908
6633012892,5006737641
3453088802,6858778466
4254045660,2412223098
3002136616,6644790956
2641062081,1418787240
2835477095,7772352930
8687390629,4157322207
3632421612,4729216950
9330449479,1407059664
5825377846,250142155
540071627,2824945595
4711995584,6029443845
927503944,7951108994
346811235,4723035903
403526894,1181210781
675669049,4497771501
7659131803,4238581262
3092775499,6985374793
4563831944,7856837871
3651814546,9273258089
7084752054,2248766608
9850092818,6423324882
6659207763,9543913683
8501920513,392103684
6652024436,9685947642
3895286750,1593071946
8600542721,9544921548
435764827,1533993400
9674437188,7772352930
3651814546,9273258089
6223365730,1386492546
8848140810,1204831577
188929394,5862848172
6658116904,7998453354
6701974379,209742673
8501920513,4692318788
8078880434,9653743841
6611358144,6890773508
6380248033,7535520218
4857372800,6985374793
487845226,6123421761
5151780757,1640969510
608860522,3001717656
7026545363,3001717656
4729216950,4816063555
660492284,2793197858
4913551727,4723035903
3591030456,1601392910
9707989791,4497771501
3651814546,9273258089
616741041,7856837871
8683543845,1498828609
9599002502,5218803866
3764972093,5183998157
6767692560,188929394
6654412700,434351836
4431107138,459201377
604317393,7856837871
531041847,7524879881
6051946283,5218803866
9586816158,1708796825
3427594465,7535520218
9186785530,6123421761
9586816158,1708796825
389024076,5896843637
3873090207,4497771501
1365245330,6985374793
8078880434,9353516901
1968816394,6890773508
3651814546,9273258089
7191804812,6492840039
4694931941,5709569908
6981910149,434351836
8967402463,9644089336
7973807879,4723035903
2824945595,6434719668
7328857291,4238581262
1763632302,9543913683
8257338541,3001717656
7931564408,459201377
7530675315,2248766608
3651814546,9273258089
2749124400,7772352930
5730432020,209742673
2286679717,8779905731
3453088802,807454771
6652024436,2585134008
6860797177,5129661746
6652024436,9604482457
8890923622,7856837871
5939286319,8327388411
9003897341,8156879059
8394329540,5334788886
1364111403,434351836
3895306575,4810948357
9586816158,1708796825
5520221039,3418926964
2286679717,3220990583
6859784309,2248766608
3556481259,5019320065
5623141347,2793197858
8891878216,6960958775
8957068054,4992830763
4711995584,3511049612
3767006545,1323517665
4816063555,1423078109
7474707387,209742673
6068920356,6123421761
8967402463,8068632457
389024076,7998453354
4346395450,3220990583
6652024436,5601106416
5047305009,5993600544
3470363208,7535520218
9634559331,8020264563
6545638988,4723035903
9586816158,1708796825
6874719158,7772352930
1584692715,6890773508
6770601554,6128626942
2281394207,5848625170
9085912544,2166563883
3651814546,9273258089
6527257111,2412223098
8829678143,5709569908
5691306117,459201377
